年龄分组,发病数,死亡数,发病率(1/10万),死亡率(1/10万),发病数,死亡数,发病率(1/10万),死亡率(1/10万),年份,月份
,内蒙古,2.0,0.0,0.008388030280789313,0,2004,10,,,
,黑龙江,1.0,0.0,0.0026658163778747797,0,2004,10,,,
,浙江省,50.0,0.0,0.10638863769349434,0,2004,10,,,
,安徽省,65.0,0.0,0.10088271443909148,0,2004,10,,,
,福建省,41.0,0.0,0.1140282567582601,0,2004,10,,,
,江西省,60.0,0.0,0.1400701896389287,0,2004,10,,,
,山东省,6.0,0.0,0.006544061850109899,0,2004,10,,,
,河南省,30.0,0.0,0.03095336359884441,0,2004,10,,,
,湖北省,5.0,0.0,0.008321797795925252,0,2004,10,,,
,湖南省,5.0,0.0,0.007485825589246761,0,2004,10,,,
,广东省,56.0,0.0,0.07040288048356722,0,2004,10,,,
,广西,93.0,0.0,0.19152209923048275,0,2004,10,,,
,海南省,6.0,0.0,0.07369056472150186,0,2004,10,,,
,重庆市,90.0,0.0,0.28753045586484177,0,2004,10,,,
,四川省,604.0,0.0,0.6931465797531241,0,2004,10,,,
,贵州省,516.0,0.0,1.3497411282836607,0,2004,10,,,
,云南省,1.0,0.0,0.0022965540206919518,0,2004,10,,,
,西藏,1.0,0.0,0.03829062970855087,0,2004,10,,,
,陕西省,32.0,0.0,0.08747705299212254,0,2004,10,,,
,甘肃省,56.0,0.0,0.21424110349471234,0,2004,10,,,
,青海省,14.0,0.0,0.2594690447869518,0,2004,10,,,
,宁夏,7.0,0.0,0.1198727225681121,0,2004,10,,,
,新疆,4.0,0.0,0.021500569926357325,0,2004,10,,,
,全国,1934.0,0.0,0.148782964581346,0,2004,11,,,
,天津市,2.0,0.0,0.02152214510359362,0,2004,11,,,
,河北省,308.0,0.0,0.4530041706976194,0,2004,11,,,
,山西省,7.0,0.0,0.021120662343971107,0,2004,11,,,
,内蒙古,1.0,0.0,0.0041940151403946566,0,2004,11,,,
,辽宁省,1.0,0.0,0.0024021106866181177,0,2004,11,,,
,浙江省,34.0,0.0,0.07234427363157614,0,2004,11,,,
,安徽省,45.0,0.0,0.06984187922706334,0,2004,11,,,
,江西省,47.0,0.0,0.10972164855049416,0,2004,11,,,
,山东省,8.0,0.0,0.008725415800146533,0,2004,11,,,
,河南省,26.0,0.0,0.02682624845233182,0,2004,11,,,
,湖北省,4.0,0.0,0.006657438236740202,0,2004,11,,,
,湖南省,15.0,0.0,0.02245747676774028,0,2004,11,,,
,广东省,35.0,0.0,0.044001800302229506,0,2004,11,,,
,广西,105.0,0.0,0.21623462816344824,0,2004,11,,,
,重庆市,69.0,0.0,0.22044001616304534,0,2004,11,,,
,四川省,534.0,0.0,0.6128150224969674,0,2004,11,,,
,贵州省,234.0,0.0,0.6120919070123577,0,2004,11,,,
,西藏,281.0,0.0,10.759666948102796,0,2004,11,,,
,陕西省,32.0,0.0,0.08747705299212254,0,2004,11,,,
,甘肃省,120.0,0.0,0.4590880789172408,0,2004,11,,,
,青海省,8.0,0.0,0.1482680255925439,0,2004,11,,,
,宁夏,8.0,0.0,0.13699739722069956,0,2004,11,,,
,新疆,10.0,0.0,0.05375142481589331,0,2004,11,,,
,全国,1774.0,0.0,0.13647413607409917,0,2004,12,,,
,北京市,1.0,0.0,0.006750371270419873,0,2004,12,,,
,天津市,1.0,0.0,0.01076107255179681,0,2004,12,,,
,河北省,407.0,0.0,0.59861265413614,0,2004,12,,,
,山西省,14.0,0.0,0.042241324687942214,0,2004,12,,,
,内蒙古,98.0,0.0,0.41101348375867636,0,2004,12,,,
,辽宁省,1.0,0.0,0.0024021106866181177,0,2004,12,,,
,黑龙江,3.0,0.0,0.00799744913362434,0,2004,12,,,
,江苏省,43.0,0.0,0.05681364303269324,0,2004,12,,,
,浙江省,9.0,0.0,0.01914995478482898,0,2004,12,,,
,安徽省,23.0,0.0,0.03569696049383237,0,2004,12,,,
,福建省,17.0,0.0,0.047280008899766385,0,2004,12,,,
,江西省,41.0,0.0,0.09571462958660129,0,2004,12,,,
,山东省,3.0,0.0,0.0032720309250549493,0,2004,12,,,
,河南省,128.0,0.0,0.13206768468840283,0,2004,12,,,
,湖北省,1.0,0.0,0.0016643595591850505,0,2004,12,,,
,湖南省,12.0,0.0,0.017965981414192228,0,2004,12,,,
,广东省,21.0,0.0,0.026401080181337702,0,2004,12,,,
,广西,23.0,0.0,0.04736568045485057,0,2004,12,,,
,海南省,2.0,0.0,0.024563521573833954,0,2004,12,,,
,重庆市,65.0,0.0,0.2076608847912746,0,2004,12,,,
,四川省,429.0,0.0,0.49231768661273223,0,2004,12,,,
,贵州省,75.0,0.0,0.1961833035296018,0,2004,12,,,
,西藏,36.0,0.0,1.3784626695078315,0,2004,12,,,
,陕西省,39.0,0.0,0.10661265833414932,0,2004,12,,,
,甘肃省,250.0,0.0,0.9564334977442517,0,2004,12,,,
,青海省,6.0,0.0,0.11120101919440793,0,2004,12,,,
,宁夏,15.0,0.0,0.2568701197888117,0,2004,12,,,
,新疆,11.0,0.0,0.059126567297482634,0,2004,12,,,
,全    国,2146.0,0.0,0.1650921784831728,0,2005,1,,,
